ID,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,DBSCAN_cluster,Cluster_Label,Exposure_Score,Exposure_Category,Weighted_Score,Quartile
905012,5,1,1,1,1,1,1,1,0,Low–Moderate,12,Medium,1.2,Q2
912010,3,2,2,1,2,1,3,1,0,Low–Moderate,15,High-Medium,1.738,Q4 (High)
908015,5,4,2,2,1,2,2,1,0,Low–Moderate,19,High,1.925,Q4 (High)
912011,1,4,2,2,1,1,1,1,0,Low–Moderate,13,Medium,1.434,Q3
910012,2,4,3,2,1,1,1,1,0,Low–Moderate,15,High-Medium,1.548,Q4 (High)
908014,1,1,1,2,1,1,1,1,0,Low–Moderate,9,Low,1.16,Q1 (Low)
912009,1,1,2,1,1,1,1,1,0,Low–Moderate,9,Low,1.064,Q1 (Low)
905010,1,1,2,1,1,1,1,1,0,Low–Moderate,9,Low,1.064,Q1 (Low)
905018,1,1,2,3,3,1,1,1,0,Low–Moderate,13,Medium,1.84,Q3
902024,5,4,1,2,1,3,3,1,0,Low–Moderate,20,High,2.152,Q4 (High)
902029,1,1,1,1,1,1,1,1,0,Low–Moderate,8,Low,1,Q1 (Low)
907028,3,2,1,2,2,1,1,1,0,Low–Moderate,13,Medium,1.558,Q3
911028,1,1,1,1,1,1,1,1,0,Low–Moderate,8,Low,1,Q1 (Low)
901032,1,4,1,1,1,2,2,1,0,Low–Moderate,13,Medium,1.501,Q3
903021,1,4,3,1,1,1,2,1,0,Low–Moderate,14,High-Medium,1.476,Q3
902028,1,1,1,2,1,1,1,1,0,Low–Moderate,9,Low,1.16,Q1 (Low)
906024,1,1,1,1,1,1,1,1,0,Low–Moderate,8,Low,1,Q1 (Low)
911027,1,2,2,2,2,2,2,1,0,Low–Moderate,14,High-Medium,1.813,Q3
903027,1,1,1,2,1,1,1,1,0,Low–Moderate,9,Low,1.16,Q1 (Low)
909029,1,2,1,1,1,1,1,1,0,Low–Moderate,9,Low,1.07,Q1 (Low)
903024,2,1,1,2,1,1,1,1,0,Low–Moderate,10,Low-Medium,1.21,Q1 (Low)
904031,1,2,1,1,1,1,1,1,0,Low–Moderate,9,Low,1.07,Q1 (Low)
907023,1,1,1,2,1,2,2,2,0,Low–Moderate,12,Medium,1.588,Q2
903026,3,1,2,1,1,2,2,2,0,Low–Moderate,14,High-Medium,1.592,Q3
910020,1,2,1,2,2,1,1,1,0,Low–Moderate,11,Low-Medium,1.458,Q2
907024,3,1,2,2,1,1,2,2,0,Low–Moderate,14,High-Medium,1.599,Q3
910035,2,1,2,4,2,1,1,2,-1,,15,High-Medium,1.959,Q4 (High)
904032,2,3,1,1,1,1,1,1,0,Low–Moderate,11,Low-Medium,1.19,Q2
909032,4,3,1,1,1,1,2,1,0,Low–Moderate,14,High-Medium,1.428,Q3
909033,1,1,2,1,1,1,1,1,0,Low–Moderate,9,Low,1.064,Q1 (Low)
906029,2,4,4,1,1,1,1,1,0,Low–Moderate,15,High-Medium,1.452,Q4 (High)
912068,5,3,1,2,2,2,2,1,0,Low–Moderate,18,High,2.019,Q4 (High)
911066,1,3,1,2,1,2,2,1,0,Low–Moderate,13,Medium,1.591,Q3
910085,3,2,2,1,2,2,1,1,0,Low–Moderate,14,High-Medium,1.615,Q3
909074,1,1,2,2,1,1,1,1,0,Low–Moderate,10,Low-Medium,1.224,Q1 (Low)
901080,2,1,3,2,1,1,1,4,-1,,15,High-Medium,1.749,Q4 (High)
909084,3,1,2,1,1,1,1,1,0,Low–Moderate,11,Low-Medium,1.164,Q2
908073,3,2,3,1,1,2,1,2,0,Low–Moderate,15,High-Medium,1.588,Q4 (High)
905086,1,1,1,2,2,1,1,1,0,Low–Moderate,10,Low-Medium,1.388,Q1 (Low)
905087,1,1,2,2,1,1,1,1,0,Low–Moderate,10,Low-Medium,1.224,Q1 (Low)
911081,1,1,1,1,1,1,1,1,0,Low–Moderate,8,Low,1,Q1 (Low)
907074,1,1,1,2,2,1,1,1,0,Low–Moderate,10,Low-Medium,1.388,Q1 (Low)
907071,1,1,1,1,1,1,1,1,0,Low–Moderate,8,Low,1,Q1 (Low)
906078,1,2,4,2,4,2,1,1,0,Low–Moderate,17,High,2.259,Q4 (High)
909083,4,3,3,5,2,4,4,4,-1,,29,High,3.57,Q4 (High)
910094,1,1,1,1,1,1,1,1,0,Low–Moderate,8,Low,1,Q1 (Low)
906086,4,3,1,1,5,1,1,1,0,Low–Moderate,17,High,2.202,Q4 (High)
910095,1,3,2,2,2,1,1,1,0,Low–Moderate,13,Medium,1.592,Q3
912083,2,2,3,1,1,1,1,1,0,Low–Moderate,12,Medium,1.248,Q2
906083,1,3,1,2,2,3,3,3,0,Low–Moderate,18,High,2.384,Q4 (High)
905093,1,1,1,1,1,1,1,1,0,Low–Moderate,8,Low,1,Q1 (Low)
904085,1,1,2,2,1,1,1,2,0,Low–Moderate,11,Low-Medium,1.361,Q2
908080,1,1,2,2,1,1,1,1,0,Low–Moderate,10,Low-Medium,1.224,Q1 (Low)
901085,1,1,2,2,1,1,1,1,0,Low–Moderate,10,Low-Medium,1.224,Q1 (Low)
908078,1,1,1,2,2,2,2,1,0,Low–Moderate,12,Medium,1.679,Q2
909096,2,1,1,3,3,2,2,2,0,Low–Moderate,16,High,2.254,Q4 (High)
911087,4,3,1,2,2,1,1,1,0,Low–Moderate,15,High-Medium,1.678,Q4 (High)
904087,2,2,2,2,2,1,1,1,0,Low–Moderate,13,Medium,1.572,Q3
906092,1,2,1,1,1,2,1,1,0,Low–Moderate,10,Low-Medium,1.223,Q1 (Low)
905102,1,2,1,2,3,1,1,1,0,Low–Moderate,12,Medium,1.686,Q2
907086,1,3,1,2,1,1,1,1,0,Low–Moderate,11,Low-Medium,1.3,Q2
904096,4,2,2,2,2,2,2,2,0,Low–Moderate,18,High,2.1,Q4 (High)
904099,2,2,2,2,1,4,4,4,-1,,21,High,2.628,Q4 (High)
904098,1,1,1,2,1,1,1,1,0,Low–Moderate,9,Low,1.16,Q1 (Low)
912101,1,1,1,2,1,1,1,1,0,Low–Moderate,9,Low,1.16,Q1 (Low)
903104,1,4,1,1,1,1,1,1,0,Low–Moderate,11,Low-Medium,1.21,Q2
901093,1,3,1,1,1,1,1,1,0,Low–Moderate,10,Low-Medium,1.14,Q1 (Low)
906110,1,1,1,2,2,1,1,1,0,Low–Moderate,10,Low-Medium,1.388,Q1 (Low)
