county,fips,mean_score
Adams,31001,1.35
Antelope,31003,1.381
Arthur,31005,
Banner,31007,
Blaine,31009,
Boone,31011,1.899
Box Butte,31013,1.534
Boyd,31015,
Brown,31017,1.344
Buffalo,31019,1.504
Burt,31021,1.726
Butler,31023,1.543
Cass,31025,1.418
Cedar,31027,1.311
Chase,31029,1.417
Cherry,31031,1.609
Cheyenne,31033,1.488
Clay,31035,1.592
Colfax,31037,1.484
Cuming,31039,1.527
Custer,31041,1.407
Dakota,31043,1.578
Dawes,31045,1.558
Dawson,31047,1.451
Deuel,31049,1.513
Dixon,31051,1.305
Dodge,31053,1.453
Douglas,31055,1.517
Dundy,31057,1.385
Fillmore,31059,1.348
Franklin,31061,1.562
Frontier,31063,1.457
Furnas,31065,1.766
Gage,31067,1.498
Garden,31069,1.368
Garfield,31071,
Gosper,31073,1.757
Grant,31075,1.642
Greeley,31077,1.61
Hall,31079,1.443
Hamilton,31081,1.454
Harlan,31083,1.453
Hayes,31085,1.679
Hitchcock,31087,1.417
Holt,31089,1.26
Hooker,31091,
Howard,31093,1.361
Jefferson,31095,1.59
Johnson,31097,1.14
Kearney,31099,1.368
Keith,31101,1.56
Keya Paha,31103,1.428
Kimball,31105,1.394
Knox,31107,1.672
Lancaster,31109,1.445
Lincoln,31111,1.521
Logan,31113,1.114
Loup,31115,
Madison,31119,1.428
McPherson,31117,2.44
Merrick,31121,1.263
Morrill,31123,1.465
Nance,31125,1.222
Nemaha,31127,1.327
Nuckolls,31129,1.574
Otoe,31131,1.473
Pawnee,31133,1.593
Perkins,31135,1.382
Phelps,31137,1.31
Pierce,31139,1.672
Platte,31141,1.562
Polk,31143,1.555
Red Willow,31145,1.563
Richardson,31147,1.422
Rock,31149,1.254
Saline,31151,1.461
Sarpy,31153,1.542
Saunders,31155,1.323
Scotts Bluff,31157,1.566
Seward,31159,1.377
Sheridan,31161,1.285
Sherman,31163,1.569
Sioux,31165,
Stanton,31167,
Thayer,31169,1.38
Thomas,31171,
Thurston,31173,1.668
Valley,31175,1.397
Washington,31177,1.536
Wayne,31179,1.409
Webster,31181,1.446
Wheeler,31183,1.16
York,31185,1.413
