county,fips,mean_score
Adams,31001,0.09977380952380953
Antelope,31003,0.11716666666666667
Arthur,31005,
Banner,31007,
Blaine,31009,
Boone,31011,0.24925
Box Butte,31013,0.1491449275362319
Boyd,31015,
Brown,31017,0.09833333333333334
Buffalo,31019,0.134025
Burt,31021,0.21741666666666667
Butler,31023,0.1481111111111111
Cass,31025,0.11524561403508772
Cedar,31027,0.08758333333333332
Chase,31029,0.11411111111111111
Cherry,31031,0.18016666666666667
Cheyenne,31033,0.14255333333333334
Clay,31035,0.16573333333333334
Colfax,31037,0.14997619047619049
Cuming,31039,0.15194047619047618
Custer,31041,0.09564583333333333
Dakota,31043,0.09246296296296297
Dawes,31045,0.15630555555555556
Dawson,31047,0.1273690476190476
Deuel,31049,0.14566666666666667
Dixon,31051,0.0827
Dodge,31053,0.11956666666666667
Douglas,31055,0.14815315315315317
Dundy,31057,0.0998888888888889
Fillmore,31059,0.08564285714285715
Franklin,31061,0.1117777777777778
Frontier,31063,0.12892857142857145
Furnas,31065,0.21855555555555553
Gage,31067,0.13891666666666666
Garden,31069,0.10625
Garfield,31071,
Gosper,31073,0.239
Grant,31075,0.16583333333333333
Greeley,31077,0.17658333333333331
Hall,31079,0.11950264550264551
Hamilton,31081,0.12790909090909092
Harlan,31083,0.12911111111111112
Hayes,31085,0.194
Hitchcock,31087,0.06683333333333333
Holt,31089,0.07576190476190477
Hooker,31091,
Howard,31093,0.11341666666666667
Jefferson,31095,0.16964814814814813
Johnson,31097,0.03961111111111112
Kearney,31099,0.10223333333333333
Keith,31101,0.15416666666666667
Keya Paha,31103,0.11275000000000002
Kimball,31105,0.10671428571428572
Knox,31107,0.19514583333333332
Lancaster,31109,0.12470795795795796
Lincoln,31111,0.14369444444444446
Logan,31113,0.02666666666666667
Loup,31115,
Madison,31119,0.11694166666666668
McPherson,31117,0.4186666666666667
Merrick,31121,0.07545238095238095
Morrill,31123,0.13603333333333334
Nance,31125,0.010666666666666666
Nemaha,31127,0.08938888888888889
Nuckolls,31129,0.15646296296296297
Otoe,31131,0.1550595238095238
Pawnee,31133,0.18416666666666667
Perkins,31135,0.11502777777777778
Phelps,31137,0.08397222222222223
Pierce,31139,0.20391666666666666
Platte,31141,0.15797619047619046
Polk,31143,0.165
Red Willow,31145,0.15613636363636363
Richardson,31147,0.11606666666666668
Rock,31149,0.06925
Saline,31151,0.11143333333333333
Sarpy,31153,0.14458614232209738
Saunders,31155,0.09058333333333334
Scotts Bluff,31157,0.16115243902439025
Seward,31159,0.09932500000000001
Sheridan,31161,0.08173333333333332
Sherman,31163,0.15958333333333335
Sioux,31165,
Stanton,31167,
Thayer,31169,0.10066666666666667
Thomas,31171,
Thurston,31173,0.180125
Valley,31175,0.04
Washington,31177,0.16886666666666666
Wayne,31179,0.11653333333333334
Webster,31181,0.13695833333333335
Wheeler,31183,0.04
York,31185,0.11893055555555555
