ID,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80
905012,1,5,4,5,5,4,4,4
912010,3,4,3,5,4,4,2,4
908015,1,2,3,4,5,3,3,4
912011,5,2,3,4,5,4,4,4
910012,4,2,2,4,5,4,4,4
908014,5,5,4,4,5,4,4,4
912009,5,5,3,5,5,4,4,4
904020,2,4,4,0,2,3,3,4
905010,5,5,3,5,5,4,4,4
905018,5,5,3,3,3,4,4,4
902024,1,2,4,4,5,2,2,4
902029,5,5,4,5,5,4,4,4
907028,3,4,4,4,4,4,4,4
911028,5,5,4,5,5,4,4,4
901032,5,2,4,5,5,3,3,4
903021,5,2,2,5,5,4,3,4
904033,0,5,4,4,5,3,3,4
902028,5,5,4,4,5,4,4,4
906024,5,5,4,5,5,4,4,4
911027,5,4,3,4,4,3,3,4
903027,5,5,4,4,5,4,4,4
909029,5,4,4,5,5,4,4,4
903024,4,5,4,4,5,4,4,4
904031,5,4,4,5,5,4,4,4
907023,5,5,4,4,5,3,3,3
903026,3,5,3,5,5,3,3,3
910020,5,4,4,4,4,4,4,4
907024,3,5,3,4,5,4,3,3
910035,4,5,3,2,4,4,4,3
904032,4,3,4,5,5,4,4,4
909032,2,3,4,5,5,4,3,4
909033,5,5,3,5,5,4,4,4
906029,4,2,1,5,5,4,4,4
912068,1,3,4,4,4,3,3,4
911066,5,3,4,4,5,3,3,4
910085,3,4,3,5,4,3,4,4
909074,5,5,3,4,5,4,4,4
901080,4,5,2,4,5,4,4,1
909084,3,5,3,5,5,4,4,4
908073,3,4,2,5,5,3,4,3
905086,5,5,4,4,4,4,4,4
905087,5,5,3,4,5,4,4,4
911081,5,5,4,5,5,4,4,4
907074,5,5,4,4,4,4,4,4
907071,5,5,4,5,5,4,4,4
906078,5,4,1,4,2,3,4,4
909083,2,3,2,1,4,1,1,1
910094,5,5,4,5,5,4,4,4
906086,2,3,4,5,1,4,4,4
910095,5,3,3,4,4,4,4,4
912083,4,4,2,5,5,4,4,4
906083,5,3,4,4,4,2,2,2
905093,5,5,4,5,5,4,4,4
904085,5,5,3,4,5,4,4,3
908080,5,5,3,4,5,4,4,4
901085,5,5,3,4,5,4,4,4
908078,5,5,4,4,4,3,3,4
909096,4,5,4,3,3,3,3,3
911087,2,3,4,4,4,4,4,4
904087,4,4,3,4,4,4,4,4
906092,5,4,4,5,5,3,4,4
905102,5,4,4,4,3,4,4,4
907086,5,3,4,4,5,4,4,4
904096,2,4,3,4,4,3,3,3
904099,4,4,3,4,5,1,1,1
904098,5,5,4,4,5,4,4,4
912101,5,5,4,4,5,4,4,4
903104,5,2,4,5,5,4,4,4
901093,5,3,4,5,5,4,4,4
906110,5,5,4,4,4,4,4,4
910121,0,5,4,5,5,4,4,4
907105,3,4,1,4,4,4,4,4
912109,1,5,4,4,5,4,4,4
912102,5,5,3,5,5,4,4,4
909111,5,5,4,4,5,4,4,4
911092,5,2,3,4,5,3,4,4
910119,5,2,3,4,5,4,4,4
902111,2,4,3,5,5,2,2,2
901100,4,4,0,5,5,4,4,4
910120,3,5,4,5,5,4,4,4
904104,5,2,4,4,5,4,4,4
903105,2,4,3,4,4,1,1,1
902113,4,4,3,4,3,4,4,4
912115,5,5,3,5,5,4,4,4
909114,2,3,2,4,4,3,3,3
906113,5,3,4,4,5,4,3,4
906114,5,5,3,5,5,4,4,4
905126,5,5,4,5,2,1,4,4
901118,5,5,4,5,5,4,4,4
902129,3,2,4,5,4,3,3,3
910143,2,4,4,4,4,1,1,4
901117,5,5,3,4,5,4,3,3
910142,2,3,4,5,5,4,4,4
907131,5,5,4,5,5,4,4,4
906132,1,1,3,5,5,4,4,4
905127,5,5,4,5,5,4,4,4
907129,5,5,4,5,5,4,4,4
912132,2,2,3,3,3,3,3,4
908127,5,5,4,4,5,4,4,4
908123,5,5,3,3,5,4,4,4
901132,5,5,4,5,5,4,4,4
911129,5,5,3,4,5,4,4,4
911130,5,5,4,4,4,4,4,4
904139,4,5,3,4,5,4,4,4
910158,5,3,4,4,4,4,4,4
909139,5,5,4,5,5,4,4,4
911133,1,5,4,5,5,4,4,4
905138,2,5,3,4,5,4,4,4
902148,5,3,2,5,5,4,4,4
909142,4,4,3,3,3,3,3,3
910169,5,5,4,2,2,4,4,4
908134,4,4,2,4,3,3,3,3
905151,5,4,2,5,5,3,4,4
902147,5,3,4,4,5,4,4,4
904148,5,4,4,4,5,4,4,4
910172,5,3,2,5,5,4,4,4
907160,4,4,3,5,5,4,1,4
912155,5,5,4,5,5,4,3,4
901149,4,5,4,5,5,4,4,4
908141,2,4,4,4,5,4,4,4
904158,5,5,4,5,5,4,4,4
901159,5,5,3,5,5,4,4,4
909163,5,4,3,5,2,4,4,4
901160,3,5,3,5,4,4,4,4
908151,2,5,4,5,5,4,4,4
906159,2,5,3,3,4,3,3,3
904157,4,4,2,5,4,4,4,4
902157,4,2,0,0,0,0,0,0
901157,5,5,4,4,5,3,3,4
908156,4,5,2,5,5,4,4,4
904162,5,5,3,4,5,4,4,4
908155,5,5,2,4,4,4,4,4
906165,3,3,3,3,2,3,3,4
909171,2,5,3,4,4,4,4,3
910186,4,4,4,5,5,0,4,4
910185,5,2,3,5,5,4,4,4
910188,5,5,2,4,5,4,4,4
904165,4,4,4,4,5,3,4,4
908162,5,3,4,4,5,4,4,4
901174,5,5,4,5,5,4,4,4
905179,5,5,4,5,5,4,4,4
908171,4,4,4,3,5,1,1,1
901061,1,1,4,4,3,3,4,4
908064,2,5,2,5,5,4,4,4
912062,4,4,3,4,4,4,4,4
905069,4,4,4,4,5,3,3,4
901001,5,5,3,4,5,4,4,4
908001,2,5,3,5,5,1,4,4
907019,5,5,3,5,5,4,4,4
909023,4,3,3,4,5,3,3,3
907017,5,5,4,5,5,4,4,4
901024,3,4,3,2,5,1,1,1
910016,5,5,4,4,5,4,4,4
904023,4,3,3,4,3,3,4,4
912017,4,4,3,4,4,2,2,3
902016,3,4,1,5,5,4,4,3
906017,3,3,4,5,5,3,4,3
903014,1,5,4,4,5,4,4,4
912018,4,4,3,4,4,3,3,3
908036,4,4,4,4,5,2,3,4
908037,5,5,4,5,5,4,4,4
906623,4,4,3,4,4,4,4,4
901619,5,5,4,4,4,3,3,4
903611,3,4,1,4,5,4,4,4
906621,2,5,4,3,5,4,4,4
903617,2,3,2,5,5,3,3,3
912617,3,4,2,4,4,3,3,3
912624,4,4,3,4,5,4,4,4
903619,5,5,4,5,5,4,4,4
907449,4,3,3,4,5,4,4,4
901484,5,5,2,4,5,4,4,3
902484,2,5,3,4,5,4,4,4
906481,2,5,4,5,5,4,4,4
904473,5,5,2,4,5,4,4,4
911375,2,5,4,5,5,4,4,4
908382,4,5,4,5,5,4,4,4
902403,2,2,4,4,5,3,4,3
906406,5,2,2,4,5,3,3,3
912403,2,3,2,4,1,1,1,1
912397,4,5,1,5,5,0,4,4
912398,2,4,3,4,5,4,4,4
902404,4,4,4,5,5,4,4,4
911392,0,4,3,3,5,3,4,3
909593,2,3,4,5,5,4,4,4
910596,5,2,4,5,5,4,4,4
905603,5,4,3,4,5,3,3,3
908596,5,4,4,5,4,3,4,4
904638,5,5,4,4,5,4,4,4
904667,4,3,3,4,4,4,4,4
905468,5,4,4,4,3,4,4,4
907479,5,5,4,4,5,4,4,4
902009,5,5,4,4,5,4,3,3
906007,2,1,4,3,2,3,4,3
911007,5,5,3,5,3,1,1,1
902007,5,5,4,5,5,4,4,4
904015,5,5,2,5,2,4,4,4
911010,5,1,4,5,5,4,4,4
907008,2,3,4,4,5,4,4,4
908013,4,5,2,5,5,2,4,1
910007,5,5,1,5,5,4,4,4
901012,1,4,3,3,2,3,3,3
904014,5,2,4,4,5,4,4,4
908011,2,3,2,5,5,4,4,4
906004,4,5,3,4,5,3,4,3
909013,4,5,2,5,5,4,4,4
902043,5,4,2,4,5,0,3,3
912042,5,5,4,5,5,4,4,4
904047,5,2,4,4,3,4,3,4
901045,3,2,3,4,4,4,3,4
904050,5,5,4,3,5,4,3,4
901046,5,5,4,4,5,4,4,4
905044,4,4,4,4,4,3,3,4
905053,5,2,3,4,4,4,4,4
912052,4,4,2,4,4,4,4,4
912049,5,5,3,3,5,4,4,4
908058,0,0,0,5,5,4,4,4
909056,5,3,2,4,5,3,4,4
905057,2,3,4,5,5,3,4,4
901054,5,5,4,5,5,3,4,3
909057,2,2,1,5,5,1,4,4
901051,4,5,2,5,5,4,4,4
905054,5,5,4,5,5,1,4,4
912065,2,3,3,5,4,3,3,3
909066,5,5,4,5,4,4,4,4
909122,5,4,3,4,5,4,4,4
911100,3,4,3,5,5,3,3,4
902125,5,5,2,5,1,4,4,4
903122,5,5,4,5,5,4,4,4
912118,3,4,2,4,3,3,4,3
907125,4,5,2,5,5,4,4,3
902124,1,1,4,5,5,4,4,4
906127,5,4,3,4,0,3,2,2
901109,3,3,2,5,4,3,4,4
901113,3,5,3,5,5,4,4,4
902117,4,2,4,4,5,2,2,2
907138,2,5,2,4,5,1,1,1
902140,4,2,4,4,5,1,1,4
901130,3,4,3,3,3,4,4,4
911118,5,5,4,5,5,4,4,4
907137,1,2,2,5,5,4,4,4
910150,3,5,4,4,5,4,4,4
901131,5,5,4,4,5,4,4,4
912135,5,4,4,5,5,4,3,3
901128,5,2,4,4,4,4,4,4
903133,5,5,4,4,5,4,4,4
911117,2,4,4,3,5,4,4,4
904128,1,5,4,5,5,3,3,3
903139,5,5,3,4,5,4,4,3
908131,4,3,3,5,5,3,3,3
910164,5,5,4,5,5,4,4,4
903151,5,3,4,4,5,4,4,4
901141,5,5,4,5,5,4,4,4
901153,5,5,4,5,5,4,4,4
908144,1,1,4,4,4,4,4,4
908147,5,5,4,5,5,4,3,4
904154,4,4,3,4,4,3,4,4
908146,5,5,4,5,3,4,4,4
